,itemId,title,leafCategoryIds,categories,image,price,itemHref,seller,marketingPrice,condition,conditionId,thumbnailImages,shippingOptions,buyingOptions,itemWebUrl,itemLocation,additionalImages,adultOnly,legacyItemId,availableCoupons,itemOriginDate,itemCreationDate,topRatedBuyingExperience,priorityListing,listingMarketplaceId,pickupOptions,epid,bidCount,currentBidPrice,itemEndDate,itemGroupHref,itemGroupType
0,v1|365233481413|0,XtremepowerUS 99cc 3.5HP Mini Dirt Bike Gas-Powered 4 Stroke Pocket Bike Pit,['75211'],"[{'categoryId': '75211', 'categoryName': 'Gas Scooters'}, {'categoryId': '888', 'categoryName': 'Sporting Goods'}, {'categoryId': '11330', 'categoryName': 'Scooters'}, {'categoryId': '159043', 'categoryName': 'Outdoor Sports'}]",{'imageUrl': 'https://i.ebayimg.com/images/g/lssAAOSwtThnN7x8/s-l225.jpg'},"{'value': '459.95', 'currency': 'USD'}",https://api.ebay.com/buy/browse/v1/item/v1%7C365233481413%7C0,"{'username': 'durapowers', 'feedbackPercentage': '98.5', 'feedbackScore': 236842}","{'originalPrice': {'value': '659.95', 'currency': 'USD'}, 'discountPercentage': '30', 'discountAmount': {'value': '200.00', 'currency': 'USD'}, 'priceTreatment': 'LIST_PRICE'}",New,1000,[{'imageUrl': 'https://i.ebayimg.com/images/g/lssAAOSwtThnN7x8/s-l1200.jpg'}],"[{'shippingCostType': 'FIXED', 'shippingCost': {'value': '0.00', 'currency': 'USD'}}]",['FIXED_PRICE'],https://www.ebay.com/itm/365233481413?_skw=gas+scooters&hash=item55099ca6c5:g:lssAAOSwtThnN7x8&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UascFtJ2VWAJKnAn13bM6JxHn4B%2Bwbv%2FtqJ7xg%2Bh0Bwz9TtovaBPwHamiwaZ4hDEQvkqEWvfnV2xj0r%2FjGkEbbfviB9VynzsjGK9WKuT%2FFUT9FEpxDb6%2Bk8TsRBeajpE5tLBZzZIa3iQo0XDc2%2Fs7NOarY31%2FoToG49wxw6OLngI5c9U7QNVXcUcRuArSSSQVqt3NDnMtBc38Mhky25veDL7pDSVQP9UD5MbyP6z0d71qOzKrSCyQBlwChVYfHv6jrn1VlqKw8NSMa7Cgt6mQhtCh%2BvPNcYu2A4EDILu62Epg%3D%3D,"{'postalCode': '917**', 'country': 'US'}","[{'imageUrl': 'https://i.ebayimg.com/images/g/oaEAAOSwkj9nN7x8/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/AQMAAOSwGYdnN7x9/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/TWcAAOSwnX1nN7x8/s-l225.jpg'}]",False,365233481413,False,2024-11-15T21:24:27.000Z,2024-11-15T21:24:27.000Z,True,True,EBAY_US,,,,,,,
1,v1|146533023979|0,Motorized Bike 110cc 4 Stroke,['75211'],"[{'categoryId': '75211', 'categoryName': 'Gas Scooters'}, {'categoryId': '888', 'categoryName': 'Sporting Goods'}, {'categoryId': '11330', 'categoryName': 'Scooters'}, {'categoryId': '159043', 'categoryName': 'Outdoor Sports'}]",{'imageUrl': 'https://i.ebayimg.com/images/g/mncAAeSwe8hoBSti/s-l225.jpg'},"{'value': '450.00', 'currency': 'USD'}",https://api.ebay.com/buy/browse/v1/item/v1%7C146533023979%7C0,"{'username': 'kacope-9594', 'feedbackPercentage': '100.0', 'feedbackScore': 1}",,Used,3000,[{'imageUrl': 'https://i.ebayimg.com/images/g/mncAAeSwe8hoBSti/s-l1600.jpg'}],,"['FIXED_PRICE', 'BEST_OFFER']",https://www.ebay.com/itm/146533023979?_skw=gas+scooters&hash=item221e0c80eb:g:mncAAeSwe8hoBSti&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZ11YFjLwWem3fSCATF3sRzLHtuveE0YzOv52MvJCIHCtiVSmZ5ZHMRAJiRX8%2BvyX%2FILxYOmCSutH9fcTYh055wecuYoYYiWnKWOyWuq0L0J0xwTYeMEIvB%2BsW%2Flj%2B%2BWioGVnJi5IvSHtd72tZspSjaLOM%2FNTN%2FWRptYB3ffrSW%2BQXTkEBiMFeC8f2CgMCDLI3EwEVi4O%2FrXuHPiFq420hIafMMdkqR0YhupscDO8MPeIVN8PskWNnCeZiX9HOkGht16pAIJ6U%2Ff%2F5i7s4HklyTEEC5cYOpEUvpNnwOfXmSuQ%3D%3D,"{'postalCode': '314**', 'country': 'US'}","[{'imageUrl': 'https://i.ebayimg.com/images/g/ipoAAeSwZ8FoBStk/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/6rYAAeSw3IdoBStl/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/BpAAAeSwNOxoBStj/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/O9IAAeSwt~loBStk/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/qlcAAeSwdRtoBStl/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/dboAAeSwTBBoBStn/s-l225.jpg'}]",False,146533023979,False,2025-04-20T17:20:26.000Z,2025-04-20T17:21:26.000Z,False,True,EBAY_US,[{'pickupLocationType': 'ARRANGED_LOCATION'}],,,,,,
2,v1|405742595915|0,Mini Motorcycle Strong Power 2-Stroke 49cc Kids Pocket Gas Motorbike US,['75211'],"[{'categoryId': '75211', 'categoryName': 'Gas Scooters'}, {'categoryId': '888', 'categoryName': 'Sporting Goods'}, {'categoryId': '11330', 'categoryName': 'Scooters'}, {'categoryId': '159043', 'categoryName': 'Outdoor Sports'}]",{'imageUrl': 'https://i.ebayimg.com/images/g/YSUAAOSwYvRmC8Ve/s-l225.jpg'},"{'value': '284.98', 'currency': 'USD'}",https://api.ebay.com/buy/browse/v1/item/v1%7C405742595915%7C0,"{'username': 'swiitury', 'feedbackPercentage': '92.9', 'feedbackScore': 84}",,New,1000,[{'imageUrl': 'https://i.ebayimg.com/images/g/YSUAAOSwYvRmC8Ve/s-l1600.jpg'}],"[{'shippingCostType': 'FIXED', 'shippingCost': {'value': '0.00', 'currency': 'USD'}}]","['FIXED_PRICE', 'BEST_OFFER']",https://www.ebay.com/itm/405742595915?_skw=gas+scooters&hash=item5e7824af4b:g:YSUAAOSwYvRmC8Ve&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Ua0Ec8nwF66hmGBpcJBM87rwZjx8rLhhhHzGISJzqgsxoGuM43CzNzCX1v97s37%2F9fB78YAovw0euOvFD%2BRcFj%2BsZ5VCDRr6V%2Fdd5%2FVkDOgjC%2BlE3XH0n3ue3DxSBQy0aC6kQj1p7S6D70b%2BxkELDswHd5Uo5hFPzpncV%2Bu9juDpAu6dxDZ2kkMUUBQRcioytCIkEVaIhd7nRNuVkRUeKR1b0J%2FbmPq6DtXmaQMlp9iL%2FgFAV5DCV56uzpfbU5z4%2B2puIvayXM%2FPvJAXLRbrOEN%2FIB%2B0YRq2HMWvtZ3eSAUHg%3D%3D,"{'postalCode': '917**', 'country': 'US'}","[{'imageUrl': 'https://i.ebayimg.com/images/g/EsUAAOSwRa1mC7R5/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/9sEAAOSwFYdmC7R~/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/LP8AAOSwcEFmC7SF/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/xZAAAOSwxSFmC7lS/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/PQkAAOSw1LBmC7lj/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/RgAAAOSwQrZmC7lu/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/F2cAAOSwoURmC7l6/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/Tr8AAOSws71mC7rH/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/EnAAAOSwp99mC7rQ/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/TxgAAOSwZsBmC7rW/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/u74AAOSwn-BmC7rf/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/i78AAOSw0-1mC7sJ/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/1KIAAOSwK8BmC7sh/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/AdEAAOSwWMFmC7sq/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/l~EAAOSwF6xmC7yC/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/E~UAAOSw-pZmC7yI/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/a6MAAOSwgIlmC7yM/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/j~AAAOSwYr9mC7yP/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/T60AAOSwKudmC8Fk/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/ex4AAOSwt3tmC8Ft/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/GUIAAOSwpftmC8GF/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/3JwAAOSwWZ1mC8Tk/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/7csAAOSwlUdmC8Tm/s-l225.jpg'}]",False,405742595915,False,2025-04-09T02:26:08.000Z,2025-04-10T02:26:13.000Z,False,True,EBAY_US,,,,,,,
3,v1|316080203826|0,MotoTec 49Cc Gas Mini Chopper Black,['75211'],"[{'categoryId': '75211', 'categoryName': 'Gas Scooters'}, {'categoryId': '888', 'categoryName': 'Sporting Goods'}, {'categoryId': '11330', 'categoryName': 'Scooters'}, {'categoryId': '159043', 'categoryName': 'Outdoor Sports'}]",{'imageUrl': 'https://i.ebayimg.com/images/g/cPwAAOSwI5tnblV9/s-l225.jpg'},"{'value': '355.47', 'currency': 'USD'}",https://api.ebay.com/buy/browse/v1/item/v1%7C316080203826%7C0,"{'username': 'w9y_kartit_2', 'feedbackPercentage': '100.0', 'feedbackScore': 223}","{'originalPrice': {'value': '362.41', 'currency': 'USD'}, 'discountPercentage': '2', 'discountAmount': {'value': '6.94', 'currency': 'USD'}}",New,1000,[{'imageUrl': 'https://i.ebayimg.com/images/g/cPwAAOSwI5tnblV9/s-l1600.jpg'}],"[{'shippingCostType': 'FIXED', 'shippingCost': {'value': '0.00', 'currency': 'USD'}}]",['FIXED_PRICE'],https://www.ebay.com/itm/316080203826?_skw=gas+scooters&hash=item4997d92832:g:cPwAAOSwI5tnblV9&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UanqAGwwiKxzUVXFUg4rV1wu%2FAeomGCbeF1DJrPlguoWUI7GrLQ64iMQahh6A9vJeCF5VdBO886reTwwzQ1vSOSGVuL5wqrqSNbCVz4iZpWSofXfLZ4WDkhG9TU%2BGHc627J1sxCkv%2FFviCRMfGNK%2BlkBnEqNPSt5ODwKH%2FM7Pir20RqOD0QQ0mbpNS2N63QV93i32VI1b8w3zQF2Qxbdjc1DPS%2BerLeCcpoUTaPMKEjPWzlLBAJJSZTXFg6qpxwF4XyJqCNIQVXlLOo%2F%2BX7hRh2l027bcgcoguY0bL6ra6DGA%3D%3D,{'country': 'US'},"[{'imageUrl': 'https://i.ebayimg.com/images/g/99MAAOSw3OlnblV-/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/KkMAAOSwT6xnblV-/s-l225.jpg'}]",False,316080203826,False,2024-12-26T14:50:53.000Z,2024-12-26T14:50:53.000Z,False,True,EBAY_US,,26024580568,,,,,
4,v1|376200953353|0,New Fast 2024 Blaze 49cc 2-Stroke All-Terrain Gas Motor Scooter - Black,['75211'],"[{'categoryId': '75211', 'categoryName': 'Gas Scooters'}, {'categoryId': '888', 'categoryName': 'Sporting Goods'}, {'categoryId': '11330', 'categoryName': 'Scooters'}, {'categoryId': '159043', 'categoryName': 'Outdoor Sports'}]",{'imageUrl': 'https://i.ebayimg.com/images/g/QsYAAOSw5epoDHiJ/s-l225.jpg'},"{'value': '449.10', 'currency': 'USD'}",https://api.ebay.com/buy/browse/v1/item/v1%7C376200953353%7C0,"{'username': 'coolingair2023', 'feedbackPercentage': '97.9', 'feedbackScore': 1428}","{'originalPrice': {'value': '499.00', 'currency': 'USD'}, 'discountPercentage': '10', 'discountAmount': {'value': '49.90', 'currency': 'USD'}, 'priceTreatment': 'MARKDOWN'}",New,1000,[{'imageUrl': 'https://i.ebayimg.com/images/g/QsYAAOSw5epoDHiJ/s-l1200.jpg'}],"[{'shippingCostType': 'FIXED', 'shippingCost': {'value': '0.00', 'currency': 'USD'}}]",['FIXED_PRICE'],https://www.ebay.com/itm/376200953353?_skw=gas+scooters&hash=item579752fe09:g:QsYAAOSw5epoDHiJ,{'country': 'US'},"[{'imageUrl': 'https://i.ebayimg.com/images/g/fmcAAOSw69doDHiJ/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/aJIAAOSw-ixoDHiK/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/lpAAAOSwolRoDHiL/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/K3kAAOSwUNBoDHiL/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/rcoAAOSw2HxoDHiM/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/hCMAAOSwyRJoDHiN/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/C0sAAOSwwPZmRIj1/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/cWMAAOSwvsBmRIjx/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/vbIAAOSwk2VmRIjs/s-l225.jpg'}]",False,376200953353,False,2025-04-26T06:10:05.000Z,2025-04-26T06:10:05.000Z,False,False,EBAY_US,,,,,,,
5,v1|335677388335|0,99cc Mini Dirt Bike Gas Powered 4-Stroke Pocket Bike Motorcycle EPA 3.5HP,['75211'],"[{'categoryId': '75211', 'categoryName': 'Gas Scooters'}, {'categoryId': '888', 'categoryName': 'Sporting Goods'}, {'categoryId': '11330', 'categoryName': 'Scooters'}, {'categoryId': '159043', 'categoryName': 'Outdoor Sports'}]",{'imageUrl': 'https://i.ebayimg.com/images/g/f8wAAOSw0PVnOFZ6/s-l225.jpg'},"{'value': '429.95', 'currency': 'USD'}",https://api.ebay.com/buy/browse/v1/item/v1%7C335677388335%7C0,"{'username': 'id-rack', 'feedbackPercentage': '96.7', 'feedbackScore': 148692}","{'originalPrice': {'value': '659.95', 'currency': 'USD'}, 'discountPercentage': '35', 'discountAmount': {'value': '230.00', 'currency': 'USD'}, 'priceTreatment': 'LIST_PRICE'}",New,1000,[{'imageUrl': 'https://i.ebayimg.com/images/g/f8wAAOSw0PVnOFZ6/s-l1200.jpg'}],"[{'shippingCostType': 'FIXED', 'shippingCost': {'value': '0.00', 'currency': 'USD'}}]",['FIXED_PRICE'],https://www.ebay.com/itm/335677388335?_skw=gas+scooters&hash=item4e27ee762f:g:f8wAAOSw0PVnOFZ6,"{'postalCode': '917**', 'country': 'US'}","[{'imageUrl': 'https://i.ebayimg.com/images/g/qaQAAOSwOgRnOFZ6/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/XiAAAOSwF81nOFZ6/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/ggwAAOSwEtxnOFZ7/s-l225.jpg'}]",False,335677388335,False,2024-11-16T08:20:45.000Z,2024-11-16T08:20:45.000Z,False,False,EBAY_US,,,,,,,
6,v1|315999634664|0,Adult Fast 2024 Blaze 49cc 2-Stroke All-Terrain Gas Motor Scooter - up to 25MPH,['75211'],"[{'categoryId': '75211', 'categoryName': 'Gas Scooters'}, {'categoryId': '888', 'categoryName': 'Sporting Goods'}, {'categoryId': '11330', 'categoryName': 'Scooters'}, {'categoryId': '159043', 'categoryName': 'Outdoor Sports'}]",{'imageUrl': 'https://i.ebayimg.com/images/g/~iUAAOSwBhZoDHlk/s-l225.jpg'},"{'value': '444.11', 'currency': 'USD'}",https://api.ebay.com/buy/browse/v1/item/v1%7C315999634664%7C0,"{'username': 'sooth2023', 'feedbackPercentage': '98.5', 'feedbackScore': 657}","{'originalPrice': {'value': '499.00', 'currency': 'USD'}, 'discountPercentage': '11', 'discountAmount': {'value': '54.89', 'currency': 'USD'}, 'priceTreatment': 'MARKDOWN'}",New,1000,[{'imageUrl': 'https://i.ebayimg.com/images/g/~iUAAOSwBhZoDHlk/s-l960.jpg'}],"[{'shippingCostType': 'FIXED', 'shippingCost': {'value': '0.00', 'currency': 'USD'}}]",['FIXED_PRICE'],https://www.ebay.com/itm/315999634664?_skw=gas+scooters&hash=item49930bc4e8:g:~iUAAOSwBhZoDHlk,{'country': 'US'},"[{'imageUrl': 'https://i.ebayimg.com/images/g/1s8AAOSwh2NoDHll/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/VkAAAOSw6thoDHlm/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/7cEAAOSwhnVoDHlm/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/0YkAAOSw~YdoDHln/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/WmcAAOSwwk5oDHlo/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/KRUAAOSwNFNoDHlo/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/images/g/C0sAAOSwwPZmRIj1/s-l225.jpg'}]",False,315999634664,False,2024-11-26T02:52:14.000Z,2024-11-26T02:52:14.000Z,False,False,EBAY_US,,,,,,,
